gid,total_users,experts,percent_experts,shannon
0,34809,747,2.1459967249849177,0.892004959287577
134172,3,2,66.66666666666667,1.8056315987539948
148669,2,1,50.0,-0.0
167465,3,0,0.0,0.9923038124716235
168077,20,7,35.0,1.866934272373942
174822,14,5,35.714285714285715,1.4871940438320357
178159,26,1,3.8461538461538463,1.1491440220116227
180495,5,2,40.0,1.0926431752076504
184617,60,14,23.333333333333332,1.5110253853922864
186813,2,1,50.0,1.5308511112417114
192716,3,2,66.66666666666667,1.093693355102348
195105,32,16,50.0,1.4442086382671617
196409,4,3,75.0,0.7797941878940056
1998495,2,0,0.0,-0.0
1998518,2,0,0.0,0.07454737695033503
1998545,2,0,0.0,0.37123232664087574
1998558,12,0,0.0,-0.0
1998615,2,0,0.0,1.2074726490855474
1998669,4,0,0.0,0.8112781244591328
1998701,11,0,0.0,0.9456603046006401
1998742,10,0,0.0,0.5617526078313283
1998804,15,0,0.0,0.7219280948873623
1998827,23,0,0.0,0.968813353799814
1998876,3,0,0.0,0.9182958340544894
1998879,3,0,0.0,1.386856057757018
1998884,3,0,0.0,0.46899559358928117
2000163,2,0,0.0,-0.0
2000198,2,0,0.0,0.6500224216483541
2000205,3,0,0.0,0.9182958340544894
2000232,18,0,0.0,0.9567757890765931
2000233,2,0,0.0,1.0
2000241,2,0,0.0,1.0
2000247,13,0,0.0,0.06541303270696634
2000254,2,0,0.0,-0.0
2000268,16,0,0.0,0.8021478210586129
2000365,4,0,0.0,0.1674569528883495
2000412,8,0,0.0,0.9983651406799405
2000415,4,0,0.0,1.0
2000702,4,0,0.0,0.8112781244591328
2000733,2,0,0.0,0.36509898470588076
2000763,2,0,0.0,0.5411884030780175
2000770,2,0,0.0,1.0
2000831,2,0,0.0,-0.0
2000951,2,0,0.0,0.37123232664087574
2001029,2,0,0.0,0.9977325484058996
2001106,5,0,0.0,0.9709505944546688
2001141,2,0,0.0,-0.0
2001146,3,0,0.0,0.9182958340544894
2001151,4,0,0.0,0.9995715363884574
2001180,2,0,0.0,-0.0
2001224,2,0,0.0,-0.0
2001313,2,0,0.0,-0.0
2001335,3,0,0.0,0.9182958340544894
2001356,2,0,0.0,-0.0
2001360,2,0,0.0,-0.0
2001395,4,0,0.0,0.20062232431271465
2001425,6,0,0.0,0.6500224216483541
2001494,6,0,0.0,-0.0
2001781,2,0,0.0,-0.0
2001815,2,0,0.0,0.9268190639645771
2001817,15,0,0.0,0.4098991333384736
2001819,5,0,0.0,0.9709505944546688
2002087,2,0,0.0,-0.0
2002098,4,0,0.0,1.0
2002192,2,0,0.0,0.9031084770597649
208986,6,4,66.66666666666667,0.2523029365790019
225236,5,2,40.0,0.34025532648088586
225286,2,1,50.0,1.0
227292,3,1,33.333333333333336,0.615689113486035
228223,2,0,0.0,1.0
242976,2,0,0.0,1.104307786008091
247641,5,2,40.0,0.23622190130671888
254148,33,10,30.303030303030305,1.7538594577464857
257965,27,20,74.07407407407408,1.9667688936970988
259389,2,0,0.0,1.0
259756,10,1,10.0,1.593584018485332
262002,2,0,0.0,1.1981174211304033
264543,7,2,28.571428571428573,1.0372164204039729
271020,3,0,0.0,1.6124052167438745
277858,9,1,11.11111111111111,0.5737189685465138
297236,3,0,0.0,0.9182958340544894
34667,3,2,66.66666666666667,0.46899559358928117
364685,29,17,58.62068965517241,1.9529648580937262
375758,2,0,0.0,1.0
377064,2,2,100.0,1.425786665663987
463601,2,0,0.0,0.7904605249493865
474856,215,0,0.0,0.2778243100667761
49016,3,2,66.66666666666667,0.09368192881373066
548027,41,34,82.92682926829268,2.024186012562541
61909,65,26,40.0,1.5669145774008222
628871,3,1,33.333333333333336,-0.0
63194,4,0,0.0,0.6379135902677766
641125,3,0,0.0,0.9182958340544894
858991,2,2,100.0,0.24070390448049728
985826,9,0,0.0,0.9910760598382222
985857,28,25,89.28571428571429,2.396082475220734
985923,2,0,0.0,-0.0
986116,6,0,0.0,-0.0
986131,2,2,100.0,0.3746604872807599
986195,3,0,0.0,1.1482778642586002
986531,8,1,12.5,0.9871377743721862
986783,2,0,0.0,0.8654439247295002
987037,7,0,0.0,0.74702473754762
987514,4,2,50.0,1.2272668774938151
987632,113,98,86.72566371681415,2.2375042313926796
987918,2,2,100.0,1.0
987949,3,2,66.66666666666667,1.0069864030660802
988042,151,64,42.384105960264904,2.076472925802193
988060,6,3,50.0,1.3246553310018117
988630,2,1,50.0,1.304764452561956
988894,3,3,100.0,1.1779084792869206
989024,2,2,100.0,1.0582741989496858
989033,2,1,50.0,-0.0
989190,28,24,85.71428571428571,2.2245302563064597
989273,25,4,16.0,1.278690777131022
989829,6,1,16.666666666666668,1.6403579343669719
989913,2,0,0.0,0.37610538123465004
990397,4,1,25.0,0.564760213571785
990418,3,0,0.0,0.9219280948873624
990445,8,3,37.5,1.2532068281513828
990457,2,2,100.0,1.2287288482343406
990471,2,0,0.0,0.8631205685666311
990512,2,0,0.0,1.165281863213401
990551,37,20,54.054054054054056,2.039051502153963
